"Date","Country","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-03-28","Germany","Brandenburg",645,108.0,26.0,1
"2020-03-28","Germany","Bremen",260,19.0,38.0,2
"2020-03-28","Germany","Hamburg",1765,72.0,96.0,2
"2020-03-28","Germany","Hesse",2604,281.0,42.0,9
"2020-03-28","Germany","Mecklenburg-Western Pomerania",308,49.0,19.0,0
"2020-03-28","Germany","Lower Saxony",3150,340.0,39.0,12
"2020-03-28","Germany","North Rhine-Westphalia",10607,1372.0,59.0,80
"2020-03-28","Germany","Rhineland-Palatinate",2212,241.0,54.0,11
"2020-03-28","Germany","Saarland",550,45.0,56.0,2
"2020-03-28","Germany","Saxony",1432,127.0,35.0,9
"2020-03-28","Germany","Saxony-Anhalt",458,0.0,21.0,2
"2020-03-28","Germany","Schleswig-Holstein",915,103.0,32.0,4
"2020-03-28","Germany","Thuringia",584,42.0,27.0,5
"2020-03-29","Germany","Baden-Württemberg",9794,13.0,88.0,101
"2020-03-29","Germany","Bavaria",12881,1731.0,99.0,107
"2020-03-29","Germany","Berlin",2360,199.0,63.0,9
"2020-03-29","Germany","Brandenburg",721,76.0,29.0,1
"2020-03-29","Germany","Bremen",275,15.0,40.0,2
"2020-03-29","Germany","Hamburg",1846,81.0,100.0,4
"2020-03-29","Germany","Hesse",2605,1.0,42.0,9
"2020-03-29","Germany","Mecklenburg-Western Pomerania",348,40.0,22.0,1
"2020-03-29","Germany","Lower Saxony",3450,300.0,43.0,21
"2020-03-29","Germany","North Rhine-Westphalia",11400,793.0,64.0,98
"2020-03-29","Germany","Rhineland-Palatinate",2396,184.0,59.0,12
"2020-03-29","Germany","Saarland",560,10.0,57.0,2
"2020-03-29","Germany","Saxony",1617,185.0,40.0,9
"2020-03-29","Germany","Saxony-Anhalt",592,134.0,27.0,2
"2020-03-29","Germany","Schleswig-Holstein",1005,90.0,35.0,6
"2020-03-29","Germany","Thuringia",697,113.0,33.0,5
"2020-03-30","Germany","Baden-Württemberg",10943,1149.0,99.0,119
"2020-03-30","Germany","Bavaria",13989,1108.0,107.0,127
