"Date","Country","Total confirmed cases","Total confirmed new cases","Total deaths","Total new deaths","Transmission classification","Days since last reported case"
"20200307","Colombia",1,1,0,0,"Imported cases only",0
"20200307","Dominican Republic",1,0,0,0,"Imported cases only",5
"20200307","Peru",1,1,0,0,"Imported cases only",0
"20200307","Saint Martin",2,0,0,0,"Under investigation",4
"20200307","Saint Barthelemy",1,0,0,0,"Under investigation",4
"20200307","Algeria",17,5,0,0,"Local transmission",0
"20200307","Senegal",4,0,0,0,"Imported cases only",2
"20200307","Cameroon",2,1,0,0,"Local transmission",0
"20200307","Nigeria",1,0,0,0,"Imported cases only",8
"20200307","South Africa",1,0,0,0,"Imported cases only",1
"20200307","Togo",1,1,0,0,"Imported cases only",0
"20200307","Diamond Princess",696,0,6,0,"Clusters of cases",1
"20200308","Republic of Korea",7134,367,50,6,"Local transmission",0
"20200308","Japan",455,48,6,0,"Local transmission",0
"20200308","Singapore",138,8,0,0,"Local transmission",0
"20200308","Malaysia",93,10,0,0,"Local transmission",0
"20200308","Australia",74,12,3,1,"Local transmission",0
"20200308","Viet Nam",21,4,0,0,"Local transmission",0
"20200308","Philippines",6,1,1,0,"Local transmission",0
