"Date","Country","Population","New confirmed cases","New deaths","Total confirmed cases","Total deaths"
"2020-01-03","France",66987244,0,0,0,0
"2020-01-03","Georgia",3731000,0,0,0,0
"2020-01-03","Germany",82927922,0,0,0,0
"2020-01-03","Greece",10727668,0,0,0,0
"2020-01-03","Iceland",353574,0,0,0,0
"2020-01-03","India",1352617328,0,0,0,0
"2020-01-03","Indonesia",267663435,0,0,0,0
"2020-01-03","Iran",81800269,0,0,0,0
"2020-01-03","Iraq",38433600,0,0,0,0
"2020-01-03","Ireland",4853506,0,0,0,0
"2020-01-03","Israel",8883800,0,0,0,0
"2020-01-03","Italy",60431283,0,0,0,0
"2020-01-03","Japan",126529100,0,0,0,0
"2020-01-03","Kuwait",4137309,0,0,0,0
"2020-01-03","Lebanon",6848925,0,0,0,0
"2020-01-03","Lithuania",2789533,0,0,0,0
"2020-01-03","Luxembourg",607728,0,0,0,0
"2020-01-03","Malaysia",31528585,0,0,0,0
"2020-01-03","Mexico",126190788,0,0,0,0
"2020-01-03","Monaco",38682,0,0,0,0
"2020-01-03","Nepal",28087871,0,0,0,0
"2020-01-03","Netherlands",17231017,0,0,0,0
"2020-01-03","New Zealand",4885500,0,0,0,0
"2020-01-03","Nigeria",195874740,0,0,0,0
"2020-01-03","North Macedonia",2082958,0,0,0,0
"2020-01-03","Norway",5314336,0,0,0,0
"2020-01-03","Oman",4829483,0,0,0,0
"2020-01-03","Pakistan",212215030,0,0,0,0
"2020-01-03","Philippines",106651922,0,0,0,0
"2020-01-03","Qatar",2781677,0,0,0,0
"2020-01-03","Romania",19473936,0,0,0,0
"2020-01-03","Russia",144478050,0,0,0,0
"2020-01-03","San Marino",33785,0,0,0,0
"2020-01-03","Singapore",5638676,0,0,0,0
"2020-01-03","South Korea",51635256,0,0,0,0
"2020-01-03","Spain",46723749,0,0,0,0
"2020-01-03","Sri Lanka",21670000,0,0,0,0
"2020-01-03","Sweden",10183175,0,0,0,0
"2020-01-03","Switzerland",8516543,0,0,0,0
"2020-01-03","Taiwan",23780452,0,0,0,0
"2020-01-03","Thailand",69428524,0,0,0,0
"2020-01-03","United Arab Emirates",9630959,0,0,0,0
"2020-01-03","United Kingdom",66488991,0,0,0,0
"2020-01-03","United States of America",327167434,0,0,0,0
"2020-01-03","Vietnam",95540395,0,0,0,0
"2020-01-04","Afghanistan",37172386,0,0,0,0
"2020-01-04","Algeria",42228429,0,0,0,0
"2020-01-04","Armenia",2951776,0,0,0,0
"2020-01-04","Australia",24992369,0,0,0,0
"2020-01-04","Austria",8847037,0,0,0,0
"2020-01-04","Azerbaijan",9942334,0,0,0,0
"2020-01-04","Bahrain",1569439,0,0,0,0
"2020-01-04","Belarus",9485386,0,0,0,0
"2020-01-04","Belgium",11422068,0,0,0,0
"2020-01-04","Brazil",209469333,0,0,0,0
"2020-01-04","Cambodia",16249798,0,0,0,0
"2020-01-04","Canada",37058856,0,0,0,0
"2020-01-04","China",1392730000,0,0,44,0
"2020-01-04","Croatia",4089400,0,0,0,0
"2020-01-04","Czechia",0,0,0,0,0
"2020-01-04","Denmark",5797446,0,0,0,0
"2020-01-04","Diamond Princess",3711,0,0,0,0
"2020-01-04","Dominican Republic",10627165,0,0,0,0
"2020-01-04","Ecuador",17084357,0,0,0,0
"2020-01-04","Egypt",98423595,0,0,0,0
"2020-01-04","Estonia",1320884,0,0,0,0
